id_mo,reg_number,model,branch,volume_m3,weight_t,pl_count,pl_date_from,pl_date_to,pl_duration_h,engine_time_h,moving_time_h,distance_km,parkings_count,kip_pct,request_numbers,object_expend
12,Р664КХ72,Самосвал Scania P400-CB 6х4,МО-36,16.0,24.0,14,12.02.2026,19.02.2026,204.1,150.88,74.83,2595.8,191,73.9,121654; 122676,A362618
13,Т053СС72,Самосвал Volvo FM Truck 6х4,МО-36,16.0,24.0,19,12.02.2026,19.02.2026,396.0,109.69,61.42,2196.5,157,27.7,121655; 121654,A362618
14,Т052СС72,Самосвал Volvo FM Truck 6х4,МО-36,16.0,24.0,4,12.02.2026,16.02.2026,96.0,0.98,0.35,3.2,10,1.0,121614,A361975
15,Р029МС72,Самосвал Volvo FM Truck 6х4,МО-36,16.0,24.0,7,12.02.2026,19.02.2026,107.8,41.8,28.04,1408.5,108,38.8,121614,A000136; A361975
16,Р031МС72,Самосвал Volvo FM Truck 6х4,МО-36,16.0,24.0,4,12.02.2026,16.02.2026,96.0,0.0,0.0,0.0,1,0.0,121348,A362304
17,Р028МС72,Самосвал Volvo FM Truck 6х4,МО-36,16.0,24.0,29,12.02.2026,24.02.2026,900.0,86.28,48.21,2320.4,69,9.6,121613; 122676; 121957; 122348,A361975; A362618; A362627
18,Т051СС72,Самосвал Volvo FM Truck 6х4,МО-36,16.0,24.0,18,12.02.2026,19.02.2026,384.0,34.55,17.75,391.6,59,9.0,121655; 122705,A362618; T000147
19,Р030МС72,Самосвал Volvo FM Truck 6х4,МО-36,16.0,24.0,14,12.02.2026,19.02.2026,264.0,103.01,26.73,286.1,187,39.0,121365; 121613,A361975
20,Р025МС72,Самосвал Volvo FM Truck 6х4,МО-36,16.0,24.0,12,12.02.2026,19.02.2026,231.0,43.68,14.29,800.7,78,18.9,121613; 120802,A361975; A362632
31,О156ЕР72,Самосвал Scania P380-CB 6х4,ДСУ,16.0,24.0,5,12.02.2026,18.02.2026,80.5,8.14,2.84,85.9,10,10.1,,
32,Р665КХ72,Самосвал Scania P400-CB 6х4,МО-36,16.0,24.0,13,12.02.2026,19.02.2026,192.0,118.77,64.19,2172.6,168,61.9,121655; 121654; 122676,A362618
33,Р027МС72,Самосвал Volvo FM Truck 6х4,МО-36,16.0,24.0,14,12.02.2026,19.02.2026,252.0,100.96,59.48,1727.3,170,40.1,121655; 121654,A362618
705,Т219ХА72,Самосвал MAN 9596-03-50 6х6,ДСУ,16.0,24.0,13,12.02.2026,19.02.2026,156.0,103.76,40.38,1150.6,168,66.5,,A361975
706,Т220ХА72,Самосвал MAN 9596-03-50 6х6,ДСУ,16.0,24.0,28,12.02.2026,19.02.2026,336.0,143.01,72.37,1108.3,41,42.6,,A361975
777,С177МН72,Самосвал Volvo FM Truck 6х4,МО-36,16.0,24.0,13,12.02.2026,24.02.2026,480.0,53.11,31.19,1379.8,51,11.1,121615; 121957; 122348,A361975; A362627
778,С220МН72,Самосвал Volvo FM Truck 6х4,МО-36,16.0,24.0,14,12.02.2026,19.02.2026,264.0,55.05,10.81,257.1,89,20.9,121519; 121043,A362626
779,С165МН72,Самосвал Volvo FM Truck 6х4,МО-36,16.0,24.0,24,12.02.2026,19.02.2026,432.1,146.03,66.74,2403.2,163,33.8,121614; 121613; 122676,A361975; A362618
780,С225МН72,Самосвал Volvo FM Truck 6х4,МО-36,16.0,24.0,15,12.02.2026,19.02.2026,252.0,119.79,30.75,1096.6,166,47.5,121382,A362492
781,С217МН72,Самосвал Volvo FM Truck 6х4,МО-36,16.0,24.0,19,12.02.2026,19.02.2026,411.6,27.94,14.36,498.7,22,6.8,121654; 121655; 122705; 122676; 122678,A362618; A000136; T000147
782,С241МН72,Самосвал Volvo FM Truck 6х4,МО-36,16.0,24.0,15,12.02.2026,19.02.2026,252.0,89.81,50.7,1858.8,148,35.6,121654; 121655; 122676,A362618; A000136
783,С238МН72,Самосвал Volvo FM Truck 6х4,МО-36,16.0,24.0,20,12.02.2026,24.02.2026,648.0,83.87,46.83,2141.7,74,12.9,121613; 121957; 122348,A361975; A362627
784,С228МН72,Самосвал Volvo FM Truck 6х4,МО-36,16.0,24.0,15,12.02.2026,19.02.2026,300.0,135.99,62.34,1966.7,193,45.3,121654; 122676,A362618
785,С141МН72,Самосвал Volvo FM Truck 6х4,МО-36,16.0,24.0,24,12.02.2026,19.02.2026,450.3,146.41,75.4,3180.0,123,32.5,121613; 122676,A361975; A362618
