vehicle_id,report_date,shift,vehicle_model,department_unit,stay_h,engine_h,idle_h,fuel_l,rate_fact,norm,load_pct,util_pct
0024ОА72,2026-02-05,День,Кран гусеничный Hitachi KH-180-3,"СМУ г. Тобольск База ТФ ""Мостоотряд-87""",3.99,3.00,0.99,12.1,4.03,8.3,82.0,75.2
0024ОА72,2026-02-09,День,Кран гусеничный Hitachi KH-180-3,"СМУ г. Тобольск База ТФ ""Мостоотряд-87""",8.55,5.50,3.05,10.4,1.89,8.3,70.2,64.3
0025ОА72,2026-02-04,Вечер,Кран гусеничный Hitachi KH-300,"",0.00,0.00,0.00,1.2,0.00,10.1,0.0,0.0
0025ОА72,2026-02-04,День,Кран гусеничный Hitachi KH-300,СМУ г. Тобольск,11.09,11.02,0.07,73.4,6.66,10.1,100.0,99.4
0025ОА72,2026-02-05,Вечер,Кран гусеничный Hitachi KH-300,СМУ г. Тобольск,0.47,0.47,0.00,2.8,5.98,10.1,100.0,100.0
0025ОА72,2026-02-05,День,Кран гусеничный Hitachi KH-300,СМУ г. Тобольск,12.00,11.63,0.37,58.8,5.06,10.1,100.0,96.9
0025ОА72,2026-02-06,Вечер,Кран гусеничный Hitachi KH-300,"",0.00,0.00,0.00,0.0,0.00,10.1,0.0,0.0
0025ОА72,2026-02-06,День,Кран гусеничный Hitachi KH-300,СМУ г. Тобольск,7.82,7.82,0.00,63.1,8.07,10.1,100.0,100.0
0028ОА72,2026-02-04,День,Фронтальный погрузчик Хундай HL-740,"СМУ г. Тобольск База ТФ ""Мостоотряд-87""",3.89,3.89,0.00,39.4,10.13,14.5,100.0,100.0
0028ОА72,2026-02-05,День,Фронтальный погрузчик Хундай HL-740,"СМУ г. Тобольск База ТФ ""Мостоотряд-87""",1.82,1.82,0.00,13.1,7.19,14.5,100.0,100.0
0028ОА72,2026-02-06,День,Фронтальный погрузчик Хундай HL-740,"СМУ г. Тобольск База ТФ ""Мостоотряд-87""",3.70,3.70,0.00,37.8,10.21,14.5,100.0,100.0
0028ОА72,2026-02-07,День,Фронтальный погрузчик Хундай HL-740,"СМУ г. Тобольск База ТФ ""Мостоотряд-87""",3.99,4.00,-0.01,32.8,8.20,14.5,100.0,100.0
0028ОА72,2026-02-09,День,Фронтальный погрузчик Хундай HL-740,"СМУ г. Тобольск База ТФ ""Мостоотряд-87""",8.69,6.74,1.96,53.3,7.91,14.5,84.5,77.5
0028ОА72,2026-02-10,День,Фронтальный погрузчик Хундай HL-740,"СМУ г. Тобольск База ТФ ""Мостоотряд-87""",8.88,8.21,0.67,66.3,8.07,14.5,100.0,92.5
