Тип ТС,Гос. №,Филиал,"Норма расхода, л/час"
Бульдозер,8914РА77,БСМ-мост,15.5
Бульдозер,3214ХА27,БСМ-мост,15.5
Бульдозер,8925АР28,БСМ-мост,15.5
Бульдозер,3020ОЕ72,ДСУ,18.2
Бульдозер,1372то72,ДСУ,17.4
Бульдозер,0809ок72,ДСУ,15.5
Бульдозер,0810ок72,ДСУ,15.5
Бульдозер,6931ОЕ72,ДСУ,17
Бульдозер,7719ОЕ72,ДСУ,17
Бульдозер,3993хе50,МО15,17.4
Бульдозер,1784та86,МО29,17.4
Бульдозер,8529ов72,МО36,18.2
Бульдозер,8527ов72,МО36,18.2
Бульдозер,5351оа72,МО36,18.2
Бульдозер,4471ОЕ72,МО36,16.2
Бульдозер,4472ОЕ72,МО36,16.2
Бульдозер,1849то72,МО36,18.2
Бульдозер,8593ов72,МО36,17.4
Бульдозер,3585ОЕ72,МО36,15
Бульдозер,0023оа72,МО87,18.2
Бульдозер,1688то72,МО87,17.4
Каток асфальтный,8827ОА72,ДСУ,2.5
Каток асфальтный,8824ОА72,ДСУ,6.5
Каток асфальтный,0378ТА72,ДСУ,6
Каток асфальтный,0379ТА72,ДСУ,6.5
Каток асфальтный,7589ОВ72,ДСУ,7
Каток асфальтный,6981ОА72,ДСУ,6.5
Каток асфальтный,7045ОА72,ДСУ,1.5
Каток асфальтный,7586ОВ72,ДСУ,6
Каток асфальтный,6980ОА72,ДСУ,6.5
Каток асфальтный,8878ОВ72,ДСУ,6.5
Каток асфальтный,8874ОВ72,ДСУ,8
Каток асфальтный,8875ОВ72,ДСУ,6.5
Каток асфальтный,8876ОВ72,ДСУ,6.5
Каток асфальтный,6982ОА72,ДСУ,6.5
Каток грунтовый,7368ОВ72,ДСУ,5
Каток грунтовый,4611ое72,ДСУ,7
Каток грунтовый,7627ОЕ72,ДСУ,7
Каток грунтовый,7630ОЕ72,ДСУ,7
Каток грунтовый,7625ОЕ72,ДСУ,7
Каток грунтовый,7628ОЕ72,ДСУ,7
Каток грунтовый,7629ОЕ72,ДСУ,7
Каток грунтовый,7624ОЕ72,ДСУ,7
Каток грунтовый,4612ое72,ДСУ,7
Каток грунтовый,0208ОА72,ДСУ,9
Каток грунтовый,0383ТА72,ДСУ,6.5
Каток грунтовый,8617ТО72,ДСУ,6
Каток грунтовый,6645ТА72,ДСУ,7
Каток грунтовый,8828ОА72,ДСУ,9.6
Каток грунтовый,7807ОА72,ДСУ,5
Каток грунтовый,7893ОА72,ДСУ,6.5
Каток грунтовый,7894ОА72,ДСУ,7
Каток грунтовый,6513ОА72,ДСУ,6
Погрузчик,3378ХА27,БСМ-мост,6.5
Погрузчик,8924АР28,БСМ-мост,6.5
Погрузчик,8923АР28,БСМ-мост,6.5
Погрузчик,3382ХА27,БСМ-мост,6.5
Погрузчик,3383ХА27,БСМ-мост,6.5
Погрузчик,7408АР28,БСМ-мост,6.5
Погрузчик,8425ов72,ДСУ,15.6
Погрузчик,9460то72,ДСУ,14.5
Погрузчик,5785тк72,ДСУ,12
Погрузчик,7501ов72,ДСУ,6.5
Погрузчик,8932ов72,ДСУ,6.5
Погрузчик,7500ов72,ДСУ,6.5
Погрузчик,9010ов72,ДСУ,15.6
Погрузчик,5112ур86,МО29,6.5
Погрузчик,1798ов72,МО36,6.5
Погрузчик,7510ов72,МО36,6.5
Погрузчик,3100ОЕ72,МО36,9.5
Погрузчик,2687ОЕ72,МО36,11.5
Погрузчик,2688ОЕ72,МО36,11.5
Погрузчик,2686ОЕ72,МО36,11.5
Погрузчик,0538ОЕ72,МО36,6.5
Погрузчик,9776ТК72,МО36,16
