ID организации;Название;Кол-во ТС
721754553;"ТФ ""Мостоотряд-36"" филиал АО ""Мостострой-11""";1039
1600357909;ООО БСМ-МОСТ;186
-1570540425;ДСУ Мостострой-11;182
721754589;"ТФ ""Мостоотряд-29"" филиал АО ""Мостострой-11""";167
721754389;"ТФ ""Мостоотряд-87"" филиал АО ""Мостострой-11""";161
-831434595;"ТФ ""Мостоотряд-15"" филиал АО ""Мостострой-11""";125
-1364842365;СУ Мостострой-11;12
1027184252;;34
821572661;;32
890817425;;12
-401719935;;9
1510862257;;8
5009518;;7
1027572116;;6
244974948;;4
492124735;;4
-2120053773;;4
-1345026271;;4
430623105;;3
1566631386;;3
1979624711;;3
-1290436475;;3
264653564;;2
964027295;;2
-1236409386;;2
-467128485;;2
432064456;;1
1015954381;;1
1383834643;;1
1636221973;;1
-1196446865;;1
-1491647244;;1
-1882381188;;1
